transaction_id,customer_id,city,category,product,txn_date,txn_time,quantity,unit_price,discount,payment_method
T1,C101,Chennai,Electronics,Laptop,2024-01-01,09:10:15,1,65000,0.10,UPI
T2,C102,Mumbai,Electronics,Phone,2024-01-01,10:05:33,2,20000,0.05,Card
T3,C103,Chennai,Furniture,Chair,2024-01-01,11:20:10,4,1500,0.00,Cash
T4,C101,Chennai,Electronics,Mouse,2024-01-01,12:15:45,2,800,0.20,UPI
T5,C104,Delhi,Appliances,Mixer,2024-01-01,13:40:21,1,3000,0.10,Card
T6,C102,Mumbai,Electronics,Laptop,2024-01-01,14:55:12,1,70000,0.15,UPI
T7,C105,Bangalore,Furniture,Table,2024-01-01,15:30:40,1,5000,0.00,Cash
T8,C103,Chennai,Electronics,Phone,2024-01-01,16:10:05,1,18000,0.10,UPI
T9,C104,Delhi,Appliances,Toaster,2024-01-01,17:25:50,2,1200,0.05,Card
T10,C101,Chennai,Furniture,Sofa,2024-01-01,18:45:00,1,25000,0.10,UPI
T11,C106,Mumbai,Electronics,Tablet,2024-01-02,09:05:11,1,25000,0.10,Card
T12,C107,Chennai,Appliances,Microwave,2024-01-02,10:12:33,1,8000,0.05,UPI
T13,C108,Delhi,Electronics,Phone,2024-01-02,11:45:22,1,19000,0.00,Cash
T14,C102,Mumbai,Furniture,Chair,2024-01-02,12:30:10,6,1400,0.10,UPI
T15,C103,Chennai,Electronics,Laptop,2024-01-02,13:55:44,1,68000,0.05,Card
T16,C104,Delhi,Appliances,Mixer,2024-01-02,14:20:18,2,3200,0.10,UPI
T17,C105,Bangalore,Furniture,Table,2024-01-02,15:10:05,1,5200,0.00,Cash
T18,C101,Chennai,Electronics,Headphones,2024-01-02,16:40:30,2,1500,0.15,UPI
T19,C106,Mumbai,Electronics,Laptop,2024-01-02,17:15:55,1,72000,0.10,Card
T20,C107,Chennai,Appliances,Toaster,2024-01-02,18:05:12,1,1100,0.05,UPI
T21,C108,Delhi,Electronics,Phone,2024-01-03,09:15:10,2,19500,0.10,Cash
T22,C102,Mumbai,Furniture,Sofa,2024-01-03,10:25:33,1,24000,0.10,UPI
T23,C103,Chennai,Electronics,Mouse,2024-01-03,11:40:45,3,850,0.20,Card
T24,C104,Delhi,Appliances,Microwave,2024-01-03,12:55:22,1,8500,0.05,UPI
T25,C105,Bangalore,Electronics,Tablet,2024-01-03,13:30:10,1,26000,0.10,Cash
T26,C101,Chennai,Furniture,Chair,2024-01-03,14:45:00,2,1600,0.00,UPI
T27,C106,Mumbai,Electronics,Phone,2024-01-03,15:20:18,1,21000,0.05,Card
T28,C107,Chennai,Appliances,Mixer,2024-01-03,16:35:40,1,3100,0.10,UPI
T29,C108,Delhi,Electronics,Laptop,2024-01-03,17:50:55,1,75000,0.15,Cash
T30,C102,Mumbai,Furniture,Table,2024-01-03,18:10:05,1,5100,0.00,UPI
T31,C103,Chennai,Electronics,Phone,2024-01-04,09:10:00,1,18500,0.10,UPI
T32,C104,Delhi,Appliances,Toaster,2024-01-04,10:20:15,2,1150,0.05,Card
T33,C105,Bangalore,Furniture,Chair,2024-01-04,11:30:25,4,1450,0.00,Cash
T34,C101,Chennai,Electronics,Laptop,2024-01-04,12:40:35,1,66000,0.10,UPI
T35,C106,Mumbai,Electronics,Mouse,2024-01-04,13:50:45,5,900,0.20,Card
T36,C107,Chennai,Appliances,Mixer,2024-01-04,14:15:55,1,3300,0.10,UPI
T37,C108,Delhi,Electronics,Tablet,2024-01-04,15:25:05,1,25500,0.10,Cash
T38,C102,Mumbai,Furniture,Sofa,2024-01-04,16:35:15,1,24500,0.10,UPI
T39,C103,Chennai,Electronics,Headphones,2024-01-04,17:45:25,2,1600,0.15,Card
T40,C104,Delhi,Appliances,Microwave,2024-01-04,18:55:35,1,8200,0.05,UPI
T41,C105,Bangalore,Electronics,Phone,2024-01-05,09:05:10,1,20000,0.05,Cash
T42,C101,Chennai,Furniture,Table,2024-01-05,10:15:20,1,5300,0.00,UPI
T43,C106,Mumbai,Electronics,Laptop,2024-01-05,11:25:30,1,71000,0.10,Card
T44,C107,Chennai,Appliances,Toaster,2024-01-05,12:35:40,2,1200,0.05,UPI
T45,C108,Delhi,Electronics,Phone,2024-01-05,13:45:50,1,19000,0.10,Cash
T46,C102,Mumbai,Furniture,Chair,2024-01-05,14:55:00,6,1500,0.00,UPI
T47,C103,Chennai,Electronics,Tablet,2024-01-05,15:05:10,1,27000,0.10,Card
T48,C104,Delhi,Appliances,Mixer,2024-01-05,16:15:20,1,3400,0.10,UPI
T49,C105,Bangalore,Electronics,Mouse,2024-01-05,17:25:30,3,950,0.20,Cash
T50,C101,Chennai,Furniture,Sofa,2024-01-05,18:35:40,1,26000,0.10,UPI
